==========================================
Job ID: 429335
Node(s): i617-[141-144,151-152]
Start Time: Wed Nov  5 12:15:04 AM CST 2025
Working Directory: /home1/11112/rasmus1142/381K-Vision-GNN-Project
==========================================
Python 3.9.18
/home1/11112/rasmus1142/381K-Vision-GNN-Project/venv/bin/python
Starting Dynamic Hypergraph Model for CIFAR-10 Classification
Loading CIFAR-10 dataset...
Train dataset shape: (50000, 32, 32, 3)
Using device: cpu

Starting training for 100 epochs...
Epoch 1/100, Loss: 2.08778, Accuracy: 0.23624
Epoch 2/100, Loss: 1.98061, Accuracy: 0.27780
Epoch 3/100, Loss: 1.93330, Accuracy: 0.29584
Epoch 4/100, Loss: 1.90505, Accuracy: 0.30758
Epoch 5/100, Loss: 1.87854, Accuracy: 0.31818
Epoch 6/100, Loss: 1.85576, Accuracy: 0.32514
Epoch 7/100, Loss: 1.83725, Accuracy: 0.33350
Epoch 8/100, Loss: 1.81813, Accuracy: 0.33820
Epoch 9/100, Loss: 1.79793, Accuracy: 0.34810
Epoch 10/100, Loss: 1.78006, Accuracy: 0.35396
Epoch 11/100, Loss: 1.76485, Accuracy: 0.35982
Epoch 12/100, Loss: 1.74571, Accuracy: 0.36812
Epoch 13/100, Loss: 1.72894, Accuracy: 0.37330
Epoch 14/100, Loss: 1.70777, Accuracy: 0.38412
Epoch 15/100, Loss: 1.69061, Accuracy: 0.38896
Epoch 16/100, Loss: 1.67815, Accuracy: 0.39380
Epoch 17/100, Loss: 1.65823, Accuracy: 0.40106
Epoch 18/100, Loss: 1.63894, Accuracy: 0.40930
Epoch 19/100, Loss: 1.61753, Accuracy: 0.41666
Epoch 20/100, Loss: 1.60216, Accuracy: 0.42150
Epoch 21/100, Loss: 1.58470, Accuracy: 0.42830
Epoch 22/100, Loss: 1.56710, Accuracy: 0.43386
Epoch 23/100, Loss: 1.54964, Accuracy: 0.44126
Epoch 24/100, Loss: 1.53197, Accuracy: 0.44806
Epoch 25/100, Loss: 1.51226, Accuracy: 0.45352
Epoch 26/100, Loss: 1.49566, Accuracy: 0.46290
Epoch 27/100, Loss: 1.47547, Accuracy: 0.46932
Epoch 28/100, Loss: 1.46322, Accuracy: 0.47234
Epoch 29/100, Loss: 1.44416, Accuracy: 0.47964
Epoch 30/100, Loss: 1.42410, Accuracy: 0.48586
Epoch 31/100, Loss: 1.40944, Accuracy: 0.49150
Epoch 32/100, Loss: 1.39492, Accuracy: 0.49948
Epoch 33/100, Loss: 1.37937, Accuracy: 0.50380
Epoch 34/100, Loss: 1.36210, Accuracy: 0.51068
Epoch 35/100, Loss: 1.34688, Accuracy: 0.51628
Epoch 36/100, Loss: 1.33191, Accuracy: 0.52172
Epoch 37/100, Loss: 1.32319, Accuracy: 0.52608
Epoch 38/100, Loss: 1.30697, Accuracy: 0.52784
Epoch 39/100, Loss: 1.30077, Accuracy: 0.53144
Epoch 40/100, Loss: 1.28342, Accuracy: 0.53912
Epoch 41/100, Loss: 1.27120, Accuracy: 0.54126
Epoch 42/100, Loss: 1.25880, Accuracy: 0.54668
Epoch 43/100, Loss: 1.24193, Accuracy: 0.55152
Epoch 44/100, Loss: 1.23517, Accuracy: 0.55612
Epoch 45/100, Loss: 1.22966, Accuracy: 0.55864
Epoch 46/100, Loss: 1.21194, Accuracy: 0.56068
Epoch 47/100, Loss: 1.20893, Accuracy: 0.56554
Epoch 48/100, Loss: 1.19575, Accuracy: 0.57022
