==========================================
Job ID: 430664
Node(s): i617-[003-004,011-014]
Start Time: Wed Nov  5 03:55:10 PM CST 2025
Working Directory: /home1/11112/rasmus1142/381K-Vision-GNN-Project
==========================================
Python 3.9.18
/home1/11112/rasmus1142/381K-Vision-GNN-Project/venv/bin/python
Starting Dynamic Hypergraph Model for CIFAR-100 Classification
Loading CIFAR-100 dataset...
Train dataset shape: (50000, 32, 32, 3)
Using device: cpu

Starting training for 300 epochs...
Epoch 1/300, Loss: 4.41200, Accuracy: 0.02950
Epoch 2/300, Loss: 4.25126, Accuracy: 0.04880
Epoch 3/300, Loss: 4.14059, Accuracy: 0.06488
Epoch 4/300, Loss: 4.07175, Accuracy: 0.07582
Epoch 5/300, Loss: 4.00930, Accuracy: 0.08226
Epoch 6/300, Loss: 3.95332, Accuracy: 0.09230
Epoch 7/300, Loss: 3.90529, Accuracy: 0.09922
Epoch 8/300, Loss: 3.86178, Accuracy: 0.10622
Epoch 9/300, Loss: 3.82873, Accuracy: 0.11074
Epoch 10/300, Loss: 3.78916, Accuracy: 0.11466
Epoch 11/300, Loss: 3.75424, Accuracy: 0.12080
Epoch 12/300, Loss: 3.72781, Accuracy: 0.12450
Epoch 13/300, Loss: 3.69748, Accuracy: 0.13146
Epoch 14/300, Loss: 3.66686, Accuracy: 0.13358
Epoch 15/300, Loss: 3.63899, Accuracy: 0.13982
Epoch 16/300, Loss: 3.60953, Accuracy: 0.14404
Epoch 17/300, Loss: 3.58075, Accuracy: 0.14708
Epoch 18/300, Loss: 3.55585, Accuracy: 0.15210
Epoch 19/300, Loss: 3.53331, Accuracy: 0.15510
Epoch 20/300, Loss: 3.50219, Accuracy: 0.16018
Epoch 21/300, Loss: 3.47843, Accuracy: 0.16518
Epoch 22/300, Loss: 3.45762, Accuracy: 0.16764
Epoch 23/300, Loss: 3.43459, Accuracy: 0.17222
Epoch 24/300, Loss: 3.40977, Accuracy: 0.17658
Epoch 25/300, Loss: 3.38151, Accuracy: 0.18006
Epoch 26/300, Loss: 3.36261, Accuracy: 0.18318
Epoch 27/300, Loss: 3.34038, Accuracy: 0.18896
Epoch 28/300, Loss: 3.31845, Accuracy: 0.19036
Epoch 29/300, Loss: 3.29331, Accuracy: 0.19520
Epoch 30/300, Loss: 3.27684, Accuracy: 0.20014
Epoch 31/300, Loss: 3.25831, Accuracy: 0.20466
Epoch 32/300, Loss: 3.23066, Accuracy: 0.20742
Epoch 33/300, Loss: 3.21443, Accuracy: 0.21162
Epoch 34/300, Loss: 3.19634, Accuracy: 0.21680
Epoch 35/300, Loss: 3.17630, Accuracy: 0.21900
Epoch 36/300, Loss: 3.15823, Accuracy: 0.22234
Epoch 37/300, Loss: 3.13829, Accuracy: 0.22494
Epoch 38/300, Loss: 3.12364, Accuracy: 0.22974
Epoch 39/300, Loss: 3.10505, Accuracy: 0.23480
Epoch 40/300, Loss: 3.08050, Accuracy: 0.23868
Epoch 41/300, Loss: 3.07832, Accuracy: 0.24002
Epoch 42/300, Loss: 3.05395, Accuracy: 0.24382
Epoch 43/300, Loss: 3.04057, Accuracy: 0.24662
Epoch 44/300, Loss: 3.02500, Accuracy: 0.25022
Epoch 45/300, Loss: 3.01099, Accuracy: 0.25256
Epoch 46/300, Loss: 2.99342, Accuracy: 0.25666
