==========================================
Job ID: 437085
Node(s): i617-[111-114,121-122]
Start Time: Sat Nov  8 11:41:08 PM CST 2025
Working Directory: /home1/11112/rasmus1142/381K-Vision-GNN-Project
==========================================
Python 3.9.18
/home1/11112/rasmus1142/381K-Vision-GNN-Project/venv/bin/python
(50000, 32, 32, 3)
Epoch 1, Loss: 1.8505547742843629, Accuracy: 0.31028
Epoch 2, Loss: nan, Accuracy: 0.15162
Epoch 3, Loss: nan, Accuracy: 0.1
Epoch 4, Loss: nan, Accuracy: 0.1
Epoch 5, Loss: nan, Accuracy: 0.1
Epoch 6, Loss: nan, Accuracy: 0.1
Epoch 7, Loss: nan, Accuracy: 0.1
Epoch 8, Loss: nan, Accuracy: 0.1
Epoch 9, Loss: nan, Accuracy: 0.1
Epoch 10, Loss: nan, Accuracy: 0.1
Epoch 11, Loss: nan, Accuracy: 0.1
Epoch 12, Loss: nan, Accuracy: 0.1
Epoch 13, Loss: nan, Accuracy: 0.1
Epoch 14, Loss: nan, Accuracy: 0.1
Epoch 15, Loss: nan, Accuracy: 0.1
Epoch 16, Loss: nan, Accuracy: 0.1
Epoch 17, Loss: nan, Accuracy: 0.1
Epoch 18, Loss: nan, Accuracy: 0.1
Epoch 19, Loss: nan, Accuracy: 0.1
Epoch 20, Loss: nan, Accuracy: 0.1
Epoch 21, Loss: nan, Accuracy: 0.1
Epoch 22, Loss: nan, Accuracy: 0.1
Epoch 23, Loss: nan, Accuracy: 0.1
Epoch 24, Loss: nan, Accuracy: 0.1
Epoch 25, Loss: nan, Accuracy: 0.1
Epoch 26, Loss: nan, Accuracy: 0.1
Epoch 27, Loss: nan, Accuracy: 0.1
Epoch 28, Loss: nan, Accuracy: 0.1
Epoch 29, Loss: nan, Accuracy: 0.1
Epoch 30, Loss: nan, Accuracy: 0.1
Epoch 31, Loss: nan, Accuracy: 0.1
Epoch 32, Loss: nan, Accuracy: 0.1
Epoch 33, Loss: nan, Accuracy: 0.1
Epoch 34, Loss: nan, Accuracy: 0.1
Epoch 35, Loss: nan, Accuracy: 0.1
Epoch 36, Loss: nan, Accuracy: 0.1
Epoch 37, Loss: nan, Accuracy: 0.1
Epoch 38, Loss: nan, Accuracy: 0.1
Epoch 39, Loss: nan, Accuracy: 0.1
Epoch 40, Loss: nan, Accuracy: 0.1
Epoch 41, Loss: nan, Accuracy: 0.1
Epoch 42, Loss: nan, Accuracy: 0.1
Epoch 43, Loss: nan, Accuracy: 0.1
Epoch 44, Loss: nan, Accuracy: 0.1
Epoch 45, Loss: nan, Accuracy: 0.1
Epoch 46, Loss: nan, Accuracy: 0.1
Epoch 47, Loss: nan, Accuracy: 0.1
Epoch 48, Loss: nan, Accuracy: 0.1
Epoch 49, Loss: nan, Accuracy: 0.1
Epoch 50, Loss: nan, Accuracy: 0.1
Epoch 51, Loss: nan, Accuracy: 0.1
Epoch 52, Loss: nan, Accuracy: 0.1
Epoch 53, Loss: nan, Accuracy: 0.1
Epoch 54, Loss: nan, Accuracy: 0.1
Epoch 55, Loss: nan, Accuracy: 0.1
Epoch 56, Loss: nan, Accuracy: 0.1
Epoch 57, Loss: nan, Accuracy: 0.1
Epoch 58, Loss: nan, Accuracy: 0.1
Epoch 59, Loss: nan, Accuracy: 0.1
Epoch 60, Loss: nan, Accuracy: 0.1
Epoch 61, Loss: nan, Accuracy: 0.1
Epoch 62, Loss: nan, Accuracy: 0.1
Epoch 63, Loss: nan, Accuracy: 0.1
Epoch 64, Loss: nan, Accuracy: 0.1
Epoch 65, Loss: nan, Accuracy: 0.1
Epoch 66, Loss: nan, Accuracy: 0.1
Epoch 67, Loss: nan, Accuracy: 0.1
Epoch 68, Loss: nan, Accuracy: 0.1
Epoch 69, Loss: nan, Accuracy: 0.1
Epoch 70, Loss: nan, Accuracy: 0.1
Epoch 71, Loss: nan, Accuracy: 0.1
Epoch 72, Loss: nan, Accuracy: 0.1
Epoch 73, Loss: nan, Accuracy: 0.1
Epoch 74, Loss: nan, Accuracy: 0.1
Epoch 75, Loss: nan, Accuracy: 0.1
Epoch 76, Loss: nan, Accuracy: 0.1
Epoch 77, Loss: nan, Accuracy: 0.1
Epoch 78, Loss: nan, Accuracy: 0.1
Epoch 79, Loss: nan, Accuracy: 0.1
Epoch 80, Loss: nan, Accuracy: 0.1
Epoch 81, Loss: nan, Accuracy: 0.1
Epoch 82, Loss: nan, Accuracy: 0.1
Epoch 83, Loss: nan, Accuracy: 0.1
Epoch 84, Loss: nan, Accuracy: 0.1
Epoch 85, Loss: nan, Accuracy: 0.1
Epoch 86, Loss: nan, Accuracy: 0.1
Epoch 87, Loss: nan, Accuracy: 0.1
Epoch 88, Loss: nan, Accuracy: 0.1
Epoch 89, Loss: nan, Accuracy: 0.1
Epoch 90, Loss: nan, Accuracy: 0.1
Epoch 91, Loss: nan, Accuracy: 0.1
Epoch 92, Loss: nan, Accuracy: 0.1
Epoch 93, Loss: nan, Accuracy: 0.1
Epoch 94, Loss: nan, Accuracy: 0.1
Epoch 95, Loss: nan, Accuracy: 0.1
Epoch 96, Loss: nan, Accuracy: 0.1
Epoch 97, Loss: nan, Accuracy: 0.1
Epoch 98, Loss: nan, Accuracy: 0.1
Epoch 99, Loss: nan, Accuracy: 0.1
Epoch 100, Loss: nan, Accuracy: 0.1
==========================================
End Time: Sun Nov  9 04:29:15 AM CST 2025
Test completed successfully!
==========================================
